Neighbourhood,ObjectId
Birchcliffe-Cliffside (122),9106
Bathurst Manor (34),9107
Bathurst Manor (34),9108
South Riverdale (70),9110
Greenwood-Coxwell (65),9111
South Riverdale (70),9114
South Riverdale (70),9119
High Park-Swansea (87),9120
South Riverdale (70),9124
High Park-Swansea (87),9125
York University Heights (27),9138
Mount Pleasant West (104),9141
Wexford/Maryvale (119),9145
West Humber-Clairville (1),9146
Englemount-Lawrence (32),9147
Dovercourt-Wallace Emerson-Junction (93),9148
Long Branch (19),9149
Briar Hill-Belgravia (108),9150
Briar Hill-Belgravia (108),9151
Waterfront Communities-The Island (77),9152
Morningside (135),9153
Morningside (135),9154
Cliffcrest (123),9155
Junction Area (90),9156
Morningside (135),9157
Humbermede (22),9158
Newtonbrook East (50),9159
Waterfront Communities-The Island (77),9160
York University Heights (27),9161
West Humber-Clairville (1),9162
West Humber-Clairville (1),9163
